ticket_no,request_id,requestor_seniority,filed_against,ticket_type,severity,priority,max_day,severity_score,priority_score,risk_score,high_risk
16464,1852,2 - Regular,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
16465,704,2 - Regular,Access/Login,Request,3 - Major,3 - High,0,3,3,3,0
16466,1405,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,4,2,0,8,0
16467,814,3 - Senior,Access/Login,Issue,3 - Major,3 - High,1,3,3,6,0
16468,1988,1 - Junior,Software,Request,2 - Normal,1 - Low,13,2,1,27,1
16469,45,2 - Regular,Systems,Request,2 - Normal,1 - Low,15,2,1,31,1
16470,39,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
16471,1535,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,7,2,2,16,1
16472,1068,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
16473,1682,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,9,2,0,18,1
16474,1391,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16475,381,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16476,145,2 - Regular,Hardware,Issue,2 - Normal,2 - Medium,20,2,2,42,1
16477,1455,1 - Junior,Software,Request,2 - Normal,2 - Medium,13,2,2,28,1
16478,541,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,8,2,0,16,1
16479,298,3 - Senior,Software,Request,2 - Normal,3 - High,5,2,3,13,1
16480,1123,2 - Regular,Software,Issue,2 - Normal,1 - Low,2,2,1,5,0
16481,738,2 - Regular,Hardware,Request,3 - Major,1 - Low,36,3,1,109,1
16482,1685,2 - Regular,Systems,Request,2 - Normal,2 - Medium,21,2,2,44,1
16483,1676,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
16484,301,3 - Senior,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
16485,85,2 - Regular,Systems,Request,1 - Minor,3 - High,6,1,3,9,0
16486,1714,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,15,2,0,30,1
16487,1677,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16488,807,4 - Management,Software,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
16489,1152,4 - Management,Systems,Request,2 - Normal,3 - High,19,2,3,41,1
16490,1296,3 - Senior,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
16491,582,2 - Regular,Software,Request,2 - Normal,2 - Medium,11,2,2,24,1
16492,1633,4 - Management,Software,Request,2 - Normal,2 - Medium,5,2,2,12,1
16493,200,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,11,2,0,22,1
16494,1064,4 - Management,Access/Login,Issue,4 - Critical,3 - High,3,4,3,15,1
16495,1309,1 - Junior,Access/Login,Request,3 - Major,0 - Unassigned,1,3,0,3,0
16496,1765,2 - Regular,Systems,Request,2 - Normal,2 - Medium,14,2,2,30,1
16497,268,1 - Junior,Systems,Request,2 - Normal,1 - Low,17,2,1,35,1
16498,316,4 - Management,Systems,Issue,3 - Major,3 - High,2,3,3,9,0
16499,764,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,13,2,0,26,1
16500,896,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,10,2,0,20,1
16501,438,4 - Management,Access/Login,Request,3 - Major,0 - Unassigned,0,3,0,0,0
16502,449,4 - Management,Software,Request,2 - Normal,3 - High,4,2,3,11,1
16503,797,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,14,2,0,28,1
16504,151,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16505,826,1 - Junior,Software,Issue,2 - Normal,1 - Low,3,2,1,7,0
16506,421,2 - Regular,Hardware,Request,2 - Normal,1 - Low,33,2,1,67,1
16507,1165,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,2,2,2,6,0
16508,1405,2 - Regular,Software,Request,2 - Normal,2 - Medium,7,2,2,16,1
16509,684,3 - Senior,Software,Request,2 - Normal,1 - Low,7,2,1,15,1
16510,1716,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
16511,820,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
16512,1474,3 - Senior,Systems,Request,2 - Normal,1 - Low,18,2,1,37,1
16513,1977,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,14,2,0,28,1
16514,251,4 - Management,Software,Request,2 - Normal,2 - Medium,3,2,2,8,0
16515,140,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,9,2,0,18,1
16516,1507,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16517,1890,4 - Management,Systems,Request,2 - Normal,1 - Low,14,2,1,29,1
16518,1633,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,8,2,0,16,1
16519,1908,2 - Regular,Software,Issue,2 - Normal,3 - High,4,2,3,11,1
16520,433,1 - Junior,Hardware,Request,2 - Normal,1 - Low,22,2,1,45,1
16521,1964,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
16522,1309,1 - Junior,Systems,Request,2 - Normal,1 - Low,21,2,1,43,1
16523,487,1 - Junior,Software,Request,2 - Normal,3 - High,3,2,3,9,0
16524,366,1 - Junior,Software,Issue,2 - Normal,0 - Unassigned,8,2,0,16,1
16525,47,4 - Management,Access/Login,Request,1 - Minor,3 - High,0,1,3,3,0
16526,1084,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16527,1708,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
16528,369,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,22,2,0,44,1
16529,1397,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,20,2,0,40,1
16530,97,2 - Regular,Hardware,Request,2 - Normal,3 - High,33,2,3,69,1
16531,1687,1 - Junior,Systems,Request,2 - Normal,1 - Low,18,2,1,37,1
16532,1295,4 - Management,Systems,Request,1 - Minor,3 - High,5,1,3,8,0
16533,22,2 - Regular,Software,Request,2 - Normal,1 - Low,5,2,1,11,1
16534,1375,3 - Senior,Software,Request,2 - Normal,2 - Medium,11,2,2,24,1
16535,108,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,18,2,0,36,1
16536,1265,4 - Management,Software,Request,2 - Normal,3 - High,3,2,3,9,0
16537,1935,2 - Regular,Software,Request,2 - Normal,3 - High,4,2,3,11,1
16538,420,3 - Senior,Hardware,Request,2 - Normal,2 - Medium,16,2,2,34,1
16539,569,3 - Senior,Systems,Issue,2 - Normal,3 - High,13,2,3,29,1
16540,17,2 - Regular,Software,Issue,4 - Critical,2 - Medium,4,4,2,18,1
16541,814,3 - Senior,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
16542,1414,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
16543,1286,4 - Management,Software,Request,2 - Normal,3 - High,5,2,3,13,1
16544,612,3 - Senior,Hardware,Request,2 - Normal,3 - High,10,2,3,23,1
16545,1278,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16546,1434,1 - Junior,Software,Request,2 - Normal,0 - Unassigned,4,2,0,8,0
16547,1011,2 - Regular,Systems,Request,2 - Normal,2 - Medium,13,2,2,28,1
16548,545,1 - Junior,Access/Login,Issue,2 - Normal,1 - Low,0,2,1,1,0
16549,852,1 - Junior,Access/Login,Issue,3 - Major,0 - Unassigned,0,3,0,0,0
16550,372,2 - Regular,Systems,Request,2 - Normal,3 - High,14,2,3,31,1
16551,1173,4 - Management,Systems,Issue,2 - Normal,3 - High,1,2,3,5,0
16552,1505,2 - Regular,Hardware,Issue,2 - Normal,3 - High,16,2,3,35,1
16553,1548,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16554,1224,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,21,2,0,42,1
16555,118,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16556,1864,2 - Regular,Software,Request,2 - Normal,1 - Low,4,2,1,9,0
16557,1760,3 - Senior,Access/Login,Request,2 - Normal,3 - High,1,2,3,5,0
16558,469,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,15,2,0,30,1
16559,274,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
16560,1717,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16561,1819,2 - Regular,Systems,Issue,3 - Major,2 - Medium,3,3,2,11,1
16562,739,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16563,563,3 - Senior,Software,Request,2 - Normal,1 - Low,5,2,1,11,1
16564,599,2 - Regular,Hardware,Request,4 - Critical,2 - Medium,34,4,2,138,1
16565,1394,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,1,2,2,4,0
16566,1854,2 - Regular,Hardware,Request,3 - Major,3 - High,11,3,3,36,1
16567,331,2 - Regular,Systems,Request,2 - Normal,2 - Medium,21,2,2,44,1
16568,841,1 - Junior,Systems,Issue,2 - Normal,1 - Low,1,2,1,3,0
16569,1072,3 - Senior,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
16570,1016,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
16571,726,2 - Regular,Systems,Request,2 - Normal,1 - Low,7,2,1,15,1
16572,1241,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,2,2,2,6,0
16573,1810,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
16574,100,3 - Senior,Systems,Request,2 - Normal,3 - High,16,2,3,35,1
16575,289,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
16576,1689,2 - Regular,Software,Issue,2 - Normal,3 - High,6,2,3,15,1
16577,1625,1 - Junior,Systems,Request,1 - Minor,1 - Low,15,1,1,16,1
16578,1117,2 - Regular,Systems,Request,2 - Normal,3 - High,16,2,3,35,1
16579,996,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,9,2,2,20,1
16580,582,2 - Regular,Systems,Request,2 - Normal,2 - Medium,15,2,2,32,1
16581,1917,4 - Management,Access/Login,Issue,4 - Critical,3 - High,0,4,3,3,0
16582,1674,2 - Regular,Hardware,Issue,0 - Unclassified,2 - Medium,17,0,2,2,0
16583,388,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16584,1543,3 - Senior,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
16585,1570,1 - Junior,Software,Request,2 - Normal,1 - Low,7,2,1,15,1
16586,530,3 - Senior,Systems,Request,2 - Normal,2 - Medium,7,2,2,16,1
16587,1150,2 - Regular,Systems,Request,2 - Normal,1 - Low,13,2,1,27,1
16588,643,1 - Junior,Hardware,Issue,2 - Normal,3 - High,15,2,3,33,1
16589,1375,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
16590,45,2 - Regular,Systems,Request,2 - Normal,1 - Low,15,2,1,31,1
16591,457,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
16592,1553,1 - Junior,Hardware,Request,2 - Normal,0 - Unassigned,32,2,0,64,1
16593,1800,2 - Regular,Systems,Request,2 - Normal,3 - High,12,2,3,27,1
16594,1869,2 - Regular,Systems,Issue,2 - Normal,3 - High,3,2,3,9,0
16595,1835,1 - Junior,Systems,Issue,2 - Normal,1 - Low,11,2,1,23,1
16596,1140,2 - Regular,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
16597,1132,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16598,536,2 - Regular,Systems,Request,2 - Normal,2 - Medium,17,2,2,36,1
16599,1594,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
16600,969,3 - Senior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
16601,314,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
16602,1053,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
16603,659,2 - Regular,Systems,Issue,2 - Normal,2 - Medium,1,2,2,4,0
16604,954,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,16,2,0,32,1
16605,50,2 - Regular,Software,Request,2 - Normal,2 - Medium,4,2,2,10,0
16606,629,1 - Junior,Hardware,Request,2 - Normal,1 - Low,12,2,1,25,1
16607,1359,3 - Senior,Access/Login,Issue,2 - Normal,3 - High,1,2,3,5,0
16608,1893,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16609,61,3 - Senior,Software,Request,2 - Normal,0 - Unassigned,3,2,0,6,0
16610,1221,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
16611,1207,1 - Junior,Systems,Issue,1 - Minor,0 - Unassigned,2,1,0,2,0
16612,778,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,1,2,1,3,0
16613,491,1 - Junior,Systems,Request,2 - Normal,3 - High,20,2,3,43,1
16614,668,2 - Regular,Systems,Request,2 - Normal,2 - Medium,21,2,2,44,1
16615,1443,2 - Regular,Systems,Request,2 - Normal,3 - High,14,2,3,31,1
16616,79,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
16617,1662,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
16618,994,4 - Management,Software,Request,2 - Normal,0 - Unassigned,2,2,0,4,0
16619,664,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,9,2,0,18,1
16620,556,4 - Management,Software,Request,2 - Normal,3 - High,7,2,3,17,1
16621,1833,1 - Junior,Systems,Request,2 - Normal,1 - Low,10,2,1,21,1
16622,822,2 - Regular,Systems,Issue,3 - Major,0 - Unassigned,4,3,0,12,1
16623,1293,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
16624,1176,3 - Senior,Hardware,Request,3 - Major,3 - High,11,3,3,36,1
16625,26,1 - Junior,Systems,Request,2 - Normal,1 - Low,12,2,1,25,1
16626,787,2 - Regular,Systems,Request,2 - Normal,1 - Low,14,2,1,29,1
16627,401,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,2,2,0,4,0
16628,1251,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16629,1037,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16630,1255,1 - Junior,Software,Request,2 - Normal,3 - High,10,2,3,23,1
16631,1223,2 - Regular,Systems,Request,2 - Normal,3 - High,20,2,3,43,1
16632,385,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16633,566,4 - Management,Systems,Issue,2 - Normal,3 - High,11,2,3,25,1
16634,236,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,24,2,0,48,1
16635,1616,1 - Junior,Hardware,Request,2 - Normal,1 - Low,31,2,1,63,1
16636,1565,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
16637,243,2 - Regular,Systems,Request,2 - Normal,1 - Low,18,2,1,37,1
16638,1942,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,0,2,1,1,0
16639,1838,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16640,821,1 - Junior,Systems,Issue,3 - Major,3 - High,2,3,3,9,0
16641,676,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16642,1923,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,21,2,0,42,1
16643,534,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,22,2,0,44,1
16644,516,1 - Junior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16645,1207,1 - Junior,Systems,Request,2 - Normal,2 - Medium,16,2,2,34,1
16646,565,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,1,2,2,4,0
16647,1930,2 - Regular,Software,Issue,2 - Normal,2 - Medium,5,2,2,12,1
16648,67,4 - Management,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
16649,1848,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,19,2,0,38,1
16650,228,4 - Management,Systems,Issue,2 - Normal,3 - High,6,2,3,15,1
16651,1751,3 - Senior,Software,Request,3 - Major,0 - Unassigned,16,3,0,48,1
16652,1911,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
16653,1649,2 - Regular,Systems,Issue,2 - Normal,1 - Low,3,2,1,7,0
16654,1069,2 - Regular,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16655,1330,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16656,1347,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
16657,1903,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
16658,190,1 - Junior,Access/Login,Request,3 - Major,1 - Low,0,3,1,1,0
16659,544,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
16660,1590,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,2,2,2,6,0
16661,290,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16662,930,1 - Junior,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
16663,1023,1 - Junior,Systems,Request,2 - Normal,2 - Medium,7,2,2,16,1
16664,1651,2 - Regular,Software,Request,2 - Normal,3 - High,2,2,3,7,0
16665,1067,3 - Senior,Software,Request,2 - Normal,3 - High,3,2,3,9,0
16666,525,4 - Management,Software,Request,2 - Normal,0 - Unassigned,4,2,0,8,0
16667,1782,4 - Management,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16668,478,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,4,2,0,8,0
16669,405,2 - Regular,Software,Issue,2 - Normal,3 - High,4,2,3,11,1
16670,1400,2 - Regular,Systems,Request,2 - Normal,2 - Medium,5,2,2,12,1
16671,57,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
16672,1941,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16673,1527,1 - Junior,Systems,Request,2 - Normal,1 - Low,6,2,1,13,1
16674,1830,3 - Senior,Software,Issue,2 - Normal,0 - Unassigned,14,2,0,28,1
16675,1192,3 - Senior,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
16676,1787,3 - Senior,Hardware,Issue,2 - Normal,3 - High,10,2,3,23,1
16677,165,1 - Junior,Systems,Request,3 - Major,2 - Medium,16,3,2,50,1
16678,1905,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16679,936,2 - Regular,Hardware,Request,2 - Normal,0 - Unassigned,10,2,0,20,1
16680,1740,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
16681,1148,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16682,349,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,26,2,0,52,1
16683,1886,3 - Senior,Systems,Issue,3 - Major,2 - Medium,12,3,2,38,1
16684,1433,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16685,1244,4 - Management,Software,Issue,2 - Normal,3 - High,1,2,3,5,0
16686,1770,1 - Junior,Software,Request,2 - Normal,3 - High,8,2,3,19,1
16687,1654,2 - Regular,Systems,Issue,2 - Normal,3 - High,2,2,3,7,0
16688,822,2 - Regular,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
16689,447,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16690,626,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,8,2,0,16,1
16691,828,3 - Senior,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
16692,1573,1 - Junior,Access/Login,Issue,2 - Normal,2 - Medium,1,2,2,4,0
16693,585,4 - Management,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16694,597,1 - Junior,Systems,Request,2 - Normal,2 - Medium,12,2,2,26,1
16695,517,2 - Regular,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
16696,1667,2 - Regular,Systems,Issue,2 - Normal,3 - High,4,2,3,11,1
16697,1066,4 - Management,Software,Request,2 - Normal,3 - High,7,2,3,17,1
16698,213,1 - Junior,Software,Request,2 - Normal,2 - Medium,5,2,2,12,1
16699,306,2 - Regular,Systems,Issue,2 - Normal,0 - Unassigned,3,2,0,6,0
16700,857,2 - Regular,Systems,Request,2 - Normal,1 - Low,17,2,1,35,1
16701,203,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16702,720,4 - Management,Systems,Request,3 - Major,0 - Unassigned,18,3,0,54,1
16703,1044,2 - Regular,Software,Request,2 - Normal,1 - Low,11,2,1,23,1
16704,796,1 - Junior,Software,Request,2 - Normal,3 - High,4,2,3,11,1
16705,213,1 - Junior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16706,1824,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,3,2,1,7,0
16707,974,4 - Management,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
16708,1336,2 - Regular,Software,Issue,2 - Normal,3 - High,3,2,3,9,0
16709,801,4 - Management,Systems,Request,2 - Normal,3 - High,8,2,3,19,1
16710,1314,2 - Regular,Systems,Request,2 - Normal,1 - Low,13,2,1,27,1
16711,1351,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
16712,258,4 - Management,Systems,Request,2 - Normal,2 - Medium,14,2,2,30,1
16713,649,2 - Regular,Hardware,Request,2 - Normal,1 - Low,11,2,1,23,1
16714,1809,4 - Management,Access/Login,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
16715,1492,4 - Management,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
16716,743,4 - Management,Software,Request,2 - Normal,0 - Unassigned,14,2,0,28,1
16717,1905,3 - Senior,Systems,Issue,2 - Normal,3 - High,2,2,3,7,0
16718,1593,2 - Regular,Access/Login,Issue,2 - Normal,1 - Low,0,2,1,1,0
16719,1780,3 - Senior,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16720,1714,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16721,816,3 - Senior,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16722,1741,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,1,2,3,5,0
16723,754,2 - Regular,Hardware,Issue,2 - Normal,3 - High,14,2,3,31,1
16724,1069,2 - Regular,Software,Issue,2 - Normal,0 - Unassigned,6,2,0,12,1
16725,530,3 - Senior,Hardware,Request,2 - Normal,0 - Unassigned,31,2,0,62,1
16726,336,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16727,146,4 - Management,Software,Issue,2 - Normal,0 - Unassigned,1,2,0,2,0
16728,1008,1 - Junior,Software,Issue,2 - Normal,3 - High,1,2,3,5,0
16729,892,1 - Junior,Systems,Request,2 - Normal,2 - Medium,23,2,2,48,1
16730,1391,4 - Management,Systems,Issue,4 - Critical,3 - High,3,4,3,15,1
16731,1954,2 - Regular,Hardware,Issue,2 - Normal,1 - Low,5,2,1,11,1
16732,1384,3 - Senior,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
16733,1220,2 - Regular,Hardware,Request,3 - Major,0 - Unassigned,15,3,0,45,1
16734,1649,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
16735,859,3 - Senior,Hardware,Request,2 - Normal,3 - High,10,2,3,23,1
16736,1315,3 - Senior,Systems,Request,2 - Normal,3 - High,5,2,3,13,1
16737,1290,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16738,1931,2 - Regular,Access/Login,Issue,2 - Normal,3 - High,1,2,3,5,0
16739,1378,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16740,1162,4 - Management,Systems,Request,2 - Normal,3 - High,6,2,3,15,1
16741,551,4 - Management,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16742,753,2 - Regular,Hardware,Request,2 - Normal,1 - Low,29,2,1,59,1
16743,582,2 - Regular,Software,Request,2 - Normal,2 - Medium,7,2,2,16,1
16744,1543,3 - Senior,Hardware,Issue,2 - Normal,3 - High,5,2,3,13,1
16745,988,2 - Regular,Access/Login,Request,2 - Normal,1 - Low,0,2,1,1,0
16746,372,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,23,2,0,46,1
16747,190,1 - Junior,Software,Request,2 - Normal,1 - Low,7,2,1,15,1
16748,1677,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16749,863,1 - Junior,Systems,Request,2 - Normal,0 - Unassigned,8,2,0,16,1
16750,545,1 - Junior,Access/Login,Issue,2 - Normal,0 - Unassigned,0,2,0,0,0
16751,15,4 - Management,Software,Request,2 - Normal,3 - High,2,2,3,7,0
16752,868,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16753,1623,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16754,1448,2 - Regular,Software,Request,2 - Normal,1 - Low,14,2,1,29,1
16755,285,2 - Regular,Systems,Issue,3 - Major,1 - Low,6,3,1,19,1
16756,1901,2 - Regular,Software,Issue,2 - Normal,1 - Low,6,2,1,13,1
16757,1743,3 - Senior,Software,Issue,2 - Normal,3 - High,5,2,3,13,1
16758,1922,1 - Junior,Software,Request,3 - Major,0 - Unassigned,7,3,0,21,1
16759,1493,2 - Regular,Systems,Request,3 - Major,0 - Unassigned,8,3,0,24,1
16760,766,3 - Senior,Software,Request,2 - Normal,3 - High,10,2,3,23,1
16761,1715,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
16762,1189,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,9,2,0,18,1
16763,1519,3 - Senior,Systems,Request,2 - Normal,0 - Unassigned,6,2,0,12,1
16764,1976,4 - Management,Access/Login,Issue,2 - Normal,3 - High,0,2,3,3,0
16765,1735,1 - Junior,Access/Login,Issue,2 - Normal,2 - Medium,0,2,2,2,0
16766,1807,2 - Regular,Systems,Request,3 - Major,2 - Medium,22,3,2,68,1
16767,1823,4 - Management,Software,Request,2 - Normal,3 - High,4,2,3,11,1
16768,537,4 - Management,Access/Login,Issue,2 - Normal,3 - High,1,2,3,5,0
16769,1564,4 - Management,Systems,Request,2 - Normal,3 - High,7,2,3,17,1
16770,122,3 - Senior,Hardware,Issue,2 - Normal,0 - Unassigned,9,2,0,18,1
16771,255,2 - Regular,Access/Login,Request,2 - Normal,0 - Unassigned,0,2,0,0,0
16772,665,3 - Senior,Access/Login,Request,2 - Normal,2 - Medium,0,2,2,2,0
16773,552,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,8,2,0,16,1
16774,356,2 - Regular,Hardware,Request,2 - Normal,2 - Medium,26,2,2,54,1
16775,475,2 - Regular,Systems,Request,2 - Normal,0 - Unassigned,7,2,0,14,1
16776,838,2 - Regular,Software,Request,2 - Normal,0 - Unassigned,5,2,0,10,0
16777,1792,1 - Junior,Access/Login,Request,2 - Normal,0 - Unassigned,1,2,0,2,0
16778,1132,3 - Senior,Software,Request,2 - Normal,2 - Medium,5,2,2,12,1
16779,186,3 - Senior,Hardware,Request,2 - Normal,3 - High,26,2,3,55,1
16780,1357,2 - Regular,Access/Login,Request,2 - Normal,3 - High,0,2,3,3,0
16781,1606,4 - Management,Software,Request,2 - Normal,3 - High,12,2,3,27,1
